ID_SITIO;LOCALIDAD;PROVINCIA;POBLACION;PLAN;Latitud;Longitud
87;25 DE MAYO;BUENOS AIRES;23408;LOCALIDAD CONECTADA;-35,44298056;-60,17478889
96;9 DE JULIO;BUENOS AIRES;36494;LOCALIDAD CONECTADA;-35,44068889;-60,8725
101;ABASTO;BUENOS AIRES;7139;LOCALIDAD CONECTADA;-34,966463;-58,162949
109;ACEVEDO;BUENOS AIRES;1499;LOCALIDAD CONECTADA;-33,75574167;-60,43588889
132;AGUSTIN ROCA;BUENOS AIRES;334;LOCALIDAD CONECTADA;-34,508096;-60,871035
133;AGUSTINA;BUENOS AIRES;155;LOCALIDAD CONECTADA;-34,460904;-61,064061
139;ALBERDI VIEJO;BUENOS AIRES;318;LOCALIDAD CONECTADA;-34,44194444;-61,84444444
3763;ALFREDO DEMARCHI _EST F QUIROGA;BUENOS AIRES;1946;LOCALIDAD CONECTADA;-35,29379722;-61,40713333
216;AMERICA;BUENOS AIRES;11685;LOCALIDAD CONECTADA;-35,494459;-62,970023
271;ARGERICH;BUENOS AIRES;80;LOCALIDAD CONECTADA;-38,77061;-62,601599
273;ARIEL;BUENOS AIRES;16;LOCALIDAD CONECTADA;-36,53180278;-59,92035833
282;ARRECIFES;BUENOS AIRES;26400;LOCALIDAD CONECTADA;-34,06392883;-60,07180956
283;ARRIBEÑOS;BUENOS AIRES;2910;LOCALIDAD CONECTADA;-34,208346;-61,35876
292;ARROYO CORTO;BUENOS AIRES;514;LOCALIDAD CONECTADA;-37,51449676;-62,31076809
293;ARROYO DE LA CRUZ;BUENOS AIRES;243;LOCALIDAD CONECTADA;-34,34013645;-59,11324909
295;ARROYO DULCE;BUENOS AIRES;1715;LOCALIDAD CONECTADA;-34,09362778;-60,41030278
325;AYACUCHO;BUENOS AIRES;17364;LOCALIDAD CONECTADA;-37,14957222;-58,47072222
327;AZCUENAGA;BUENOS AIRES;312;LOCALIDAD CONECTADA;-34,36307825;-59,37655399
4023;AZUCENA;BUENOS AIRES;0;LOCALIDAD CONECTADA;-37,48694167;-59,293325
330;AZUL;BUENOS AIRES;55728;LOCALIDAD CONECTADA;-36,76994444;-59,85005556
332;BAHIA BLANCA;BUENOS AIRES;291327;LOCALIDAD CONECTADA;-38,75124167;-62,28297222
336;BAIGORRITA;BUENOS AIRES;1848;LOCALIDAD CONECTADA;-34,74771111;-60,98280833
342;BALCARCE;BUENOS AIRES;38376;LOCALIDAD CONECTADA;-37,84979167;-58,24926111
351;BALNEARIO LAGUNA DE GOMEZ;BUENOS AIRES;230;LOCALIDAD CONECTADA;-34,65590556;-61,0193
364;BANDERALO;BUENOS AIRES;1339;LOCALIDAD CONECTADA;-35,01091667;-63,37183333
368;BARADERO;BUENOS AIRES;28537;LOCALIDAD CONECTADA;-33,810287;-59,50957
396;BARRIO COLINAS VERDES;BUENOS AIRES;121;LOCALIDAD CONECTADA;-37,89308889;-57,82196944
409;BARRIO EL COYUNCO;BUENOS AIRES;374;LOCALIDAD CONECTADA;-37,91791944;-57,74728056
419;BARRIO EL TALADRO;BUENOS AIRES;155;LOCALIDAD CONECTADA;-35,0715;-58,86511111
441;BARRIO LA GLORIA;BUENOS AIRES;415;LOCALIDAD CONECTADA;-37,90758889;-57,78501111
452;BARRIO LOMAS ALTAS;BUENOS AIRES;61;LOCALIDAD CONECTADA;-35,58551111;-58,06786667
496;BARRIO SANTA PAULA;BUENOS AIRES;644;LOCALIDAD CONECTADA;-37,93163056;-57,68613889
521;BELLOCQ;BUENOS AIRES;542;LOCALIDAD CONECTADA;-35,919598;-61,534026
523;BENAVIDEZ;BUENOS AIRES;35870;LOCALIDAD CONECTADA;-34,41083333;-58,72027778
526;BENITO JUAREZ;BUENOS AIRES;14279;LOCALIDAD CONECTADA;-37,67955556;-59,81016667
531;BERDIER;BUENOS AIRES;177;LOCALIDAD CONECTADA;-34,39888889;-60,25111111
535;BERMUDEZ;BUENOS AIRES;72;LOCALIDAD CONECTADA;-34,69230556;-61,32461111
543;BERUTTI;BUENOS AIRES;1098;LOCALIDAD CONECTADA;-35,85957778;-62,51339722
551;BOCAYUVA;BUENOS AIRES;83;LOCALIDAD CONECTADA;-36,2045;-63,07622222
561;BRAGADO;BUENOS AIRES;33222;LOCALIDAD CONECTADA;-35,12833333;-60,47111111
601;CAMPANA;BUENOS AIRES;86860;LOCALIDAD CONECTADA;-34,18055556;-58,96888889
